acousticness,artists,danceability,energy,explicit,instrumentalness,key,liveness,loudness,name,popularity,release_date,speechiness,tempo,valence,days_from_release,duration_sec
0.14400000000000002,['Tory Lanez'],0.929,0.7,1,0.0,0,0.349,-5.595,Broke In A Minute,82,2020-04-10,0.0906,120.009,0.802,185,132.024
0.0228,['Lady Gaga'],0.731,0.927,0,7.15e-05,0,0.187,-3.634,Free Woman,82,2020-05-29,0.0781,119.006,0.478,136,191.467
0.0485,"['Jonas Brothers', 'KAROL G']",0.715,0.8270000000000001,0,3.6099999999999997e-05,4,0.321,-5.09,X (with KAROL G),82,2020-05-15,0.0617,117.977,0.75,150,185.277
0.0157,['J Balvin'],0.795,0.9109999999999999,0,0.20600000000000002,0,0.131,-2.228,Negro,82,2020-03-19,0.0875,164.081,0.8,207,182.093
0.667,"['KAROL G', 'Anuel AA']",0.735,0.787,0,6.15e-06,7,0.0721,-4.375,Follow,82,2020-04-01,0.16,168.997,0.455,194,203.093
0.397,"['Anuel AA', 'Enrique Iglesias']",0.735,0.9159999999999999,1,2.91e-06,2,0.0918,-2.082,Fútbol & Rumba (feat. Enrique Iglesias),81,2020-05-29,0.11699999999999999,167.99400000000003,0.691,136,221.429
0.19399999999999998,"['Jhay Cortez', 'Anuel AA', 'J Balvin']",0.8859999999999999,0.604,1,3.15e-06,0,0.107,-7.2929999999999975,Medusa,81,2020-02-05,0.20800000000000002,98.023,0.38299999999999995,250,305.333
0.586,"['Daddy Yankee', 'Sech']",0.813,0.764,0,0.0,8,0.253,-3.39,Definitivamente,81,2020-01-31,0.105,100.04700000000001,0.429,255,217.773
0.00795,['ITZY'],0.809,0.9109999999999999,0,0.00017900000000000001,6,0.18100000000000002,-4.41,WANNABE,81,2020-03-09,0.0617,122.035,0.64,217,191.242
0.556,['Alicia Keys'],0.655,0.722,0,0.0,0,0.133,-4.726,Underdog,81,2020-01-09,0.048,90.09899999999999,0.298,277,208.208
0.102,"['Lil Tecca', 'Internet Money']",0.732,0.654,1,0.0,7,0.215,-6.136,Out Of Love (feat. Internet Money),81,2020-04-17,0.045,138.049,0.369,178,153.597
0.17,"['Sech', 'Daddy Yankee']",0.722,0.757,0,1.31e-05,0,0.0657,-3.592,Confía,81,2020-05-21,0.0782,167.987,0.763,144,202.308
0.447,['Manuel Turizo'],0.7929999999999999,0.782,0,0.0,4,0.124,-3.945,Quiéreme Mientras Se Pueda,81,2020-05-01,0.0582,143.86,0.81,164,191.945
0.0232,"['Polo G', 'Lil Baby']",0.8290000000000001,0.52,1,0.0,8,0.134,-10.34,Be Something (feat. Lil Baby),81,2020-05-15,0.294,136.10299999999998,0.248,150,194.118
0.157,"['Farruko', 'Beéle', 'Natti Natasha', 'Manuel Turizo']",0.9079999999999999,0.529,0,0.00014199999999999998,6,0.0634,-7.032,Loco - Remix,81,2020-04-24,0.135,105.021,0.743,171,248.5
0.149,['Polo G'],0.7829999999999999,0.479,1,0.0,7,0.10099999999999999,-10.645999999999999,21,81,2020-05-15,0.541,176.02700000000004,0.5329999999999999,150,163.798
0.281,"['Gunna', 'Roddy Ricch']",0.8370000000000001,0.586,1,0.0,11,0.134,-8.521,COOLER THAN A BITCH (feat. Roddy Ricch),81,2020-05-22,0.0807,117.066,0.618,143,197.0
0.22899999999999998,['J Balvin'],0.8490000000000001,0.7090000000000001,0,0.0,6,0.32899999999999996,-4.717,Gris,81,2020-03-19,0.0794,93.06,0.9159999999999999,207,176.627
0.0212,['The Weeknd'],0.68,0.826,1,1.24e-05,0,0.5429999999999999,-5.487,Save Your Tears,81,2020-03-20,0.0309,118.051,0.644,206,215.627
0.0858,"['Cali Y El Dandee', 'Sebastian Yatra']",0.643,0.769,0,0.0,8,0.205,-3.533,Locura,81,2020-05-07,0.0877,185.669,0.532,158,209.027
0.00518,"['The Weeknd', 'Doja Cat']",0.679,0.731,0,0.000127,7,0.0614,-5.522,In Your Eyes (with Doja Cat) - Remix,81,2020-05-21,0.0319,99.984,0.727,144,237.912
0.262,"['Lennon Stella', 'Charlie Puth']",0.696,0.6859999999999999,0,0.0,5,0.174,-6.1129999999999995,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,81,2020-04-23,0.0309,115.98200000000001,0.7,172,160.289
0.696,['Joji'],0.48200000000000004,0.631,0,0.0242,5,0.209,-6.9170000000000025,Gimme Love,81,2020-04-16,0.0986,126.57600000000001,0.0743,179,214.558
0.43,['Tones And I'],0.672,0.46399999999999997,0,0.0,6,0.284,-5.624,Never Seen The Rain,81,2020-02-21,0.037000000000000005,92.069,0.271,234,200.742
0.0319,"['6ix9ine', 'Nicki Minaj']",0.7440000000000001,0.42200000000000004,1,0.00011,1,0.11,-8.946,TROLLZ (with Nicki Minaj),81,2020-06-12,0.294,180.00599999999997,0.493,122,202.667
0.231,['Halsey'],0.667,0.583,0,4.48e-05,11,0.18100000000000002,-5.127000000000002,Graveyard,81,2020-01-17,0.0747,92.04299999999999,0.187,269,181.806
0.127,"['Kygo', 'Zak Abel']",0.715,0.635,0,0.0,7,0.0862,-6.591,Freedom,81,2020-04-17,0.0791,112.887,0.39,178,198.635
0.0641,['Princess Nokia'],0.893,0.579,1,0.000121,9,0.215,-8.995,I Like Him,81,2020-02-26,0.113,133.018,0.611,229,132.453
0.0132,['Sia'],0.521,0.877,0,0.0806,7,0.0929,-5.444,Together,81,2020-05-20,0.0683,180.007,0.19899999999999998,145,205.208
0.11900000000000001,['jxdn'],0.5539999999999999,0.8,1,0.0,8,0.629,-3.9360000000000004,Angels & Demons,81,2020-05-19,0.0395,115.056,0.46299999999999997,146,160.12
0.183,['Juanfran'],0.8270000000000001,0.629,0,0.0,6,0.084,-3.966,Como Llora,81,2020-02-07,0.185,88.064,0.486,248,187.5
0.0946,['Joel Corry'],0.6970000000000001,0.9209999999999999,0,1.9e-05,5,0.159,-4.283,Lonely,81,2020-01-24,0.0424,123.988,0.722,262,190.955
0.326,['Bazzi'],0.716,0.563,1,0.0,3,0.11900000000000001,-5.4860000000000015,Young & Alive,80,2020-03-05,0.0425,86.005,0.495,221,160.465
0.517,"['A Boogie Wit da Hoodie', 'London On Da Track', 'Roddy Ricch', 'Gunna']",0.8190000000000001,0.654,1,0.0,11,0.0996,-6.665,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",80,2020-02-14,0.136,133.503,0.455,241,188.563
0.0944,"['DaBaby', 'Quavo']",0.915,0.612,1,0.0,1,0.115,-4.535,PICK UP (feat. Quavo),80,2020-04-17,0.40700000000000003,129.93,0.758,178,118.547
0.0026100000000000003,['Demi Lovato'],0.664,0.561,1,0.0,6,0.0764,-7.0310000000000015,I Love Me,80,2020-03-06,0.0495,150.093,0.713,220,203.672
0.0118,['Megan Thee Stallion'],0.863,0.633,1,0.0,10,0.285,-5.002,Captain Hook,80,2020-03-06,0.287,163.99099999999999,0.545,220,176.75
0.5379999999999999,"['Justin Bieber', 'Post Malone', 'Clever']",0.825,0.483,0,1.4800000000000002e-05,8,0.204,-5.746,Forever (feat. Post Malone & Clever),80,2020-02-14,0.08,139.98,0.892,241,219.933
0.0362,"['Sebastian Yatra', 'Rauw Alejandro', 'Manuel Turizo']",0.794,0.855,0,0.0,2,0.142,-1.959,TBT,80,2020-02-20,0.0466,91.963,0.639,235,239.133
0.5539999999999999,"['Jhené Aiko', 'H.E.R.']",0.617,0.525,1,1.1e-06,8,0.135,-10.425999999999998,B.S. (feat. H.E.R.),80,2020-03-06,0.12,135.781,0.377,220,212.867
0.14800000000000002,['Bankrol Hayden'],0.888,0.516,1,0.0,11,0.106,-10.228,Costa Rica,80,2020-01-10,0.41,127.803,0.606,276,114.865
0.48,['Anuel AA'],0.6940000000000001,0.7959999999999999,1,0.000384,6,0.10800000000000001,-4.164,Reggaetonera,80,2020-05-29,0.0565,93.064,0.515,136,212.312
0.8170000000000001,['Maluma'],0.565,0.39,0,0.0,9,0.126,-4.959,ADMV,80,2020-04-23,0.0556,163.781,0.708,172,193.7
0.0407,"['Lauv', 'LANY']",0.746,0.45,0,0.0,7,0.172,-8.543,Mean It,80,2020-03-06,0.0872,95.99799999999999,0.336,220,232.853
